epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0435,1.31632,2.11589,1.49334,0.65685,0.55487,0.59602,0.29614,1.72474,1.21269,1.61286,0.00331288,0.00331288,0.00331288
2,107.022,1.11485,1.21863,1.31465,0.75332,0.57517,0.63885,0.30979,1.75768,1.21012,1.6518,0.00662428,0.00662428,0.00662428
3,156.555,1.16758,1.22944,1.33111,0.70073,0.52753,0.55436,0.24673,1.87789,1.66629,1.83265,0.00991369,0.00991369,0.00991369
4,204.804,1.21432,1.33797,1.35899,0.68682,0.52058,0.57615,0.26643,1.87818,1.69303,1.78034,0.009901,0.009901,0.009901
5,253.747,1.19846,1.29837,1.35973,0.68211,0.48112,0.52991,0.23178,1.8799,1.95599,1.82686,0.009868,0.009868,0.009868
6,302.848,1.18454,1.26426,1.34273,0.74124,0.5385,0.60806,0.30678,1.6726,1.28734,1.66354,0.009835,0.009835,0.009835
7,352.005,1.15097,1.20808,1.32645,0.73112,0.58656,0.62777,0.3351,1.59132,1.29677,1.5654,0.009802,0.009802,0.009802
8,400.942,1.13557,1.17962,1.31982,0.7888,0.58264,0.64685,0.30171,1.79568,1.20244,1.71142,0.009769,0.009769,0.009769
9,449.403,1.11096,1.12693,1.30327,0.74038,0.61031,0.64705,0.34861,1.56857,1.18943,1.58369,0.009736,0.009736,0.009736
10,497.896,1.09206,1.08295,1.29355,0.77569,0.60125,0.66373,0.33116,1.74044,1.15783,1.71613,0.009703,0.009703,0.009703
11,546.083,1.07153,1.05555,1.2805,0.85305,0.5886,0.67524,0.35619,1.64165,1.08358,1.62627,0.00967,0.00967,0.00967
12,594.48,1.05777,1.0184,1.26563,0.78436,0.6338,0.69348,0.35706,1.68639,1.10054,1.68481,0.009637,0.009637,0.009637
13,643.064,1.05063,1.00196,1.26288,0.82078,0.62952,0.69883,0.38789,1.48414,1.02257,1.51548,0.009604,0.009604,0.009604
14,691.896,1.03095,0.98008,1.2478,0.80308,0.6025,0.66838,0.36217,1.55793,1.0846,1.55067,0.009571,0.009571,0.009571
15,740.258,1.01994,0.94474,1.23875,0.82429,0.63696,0.7092,0.38044,1.56548,1.00463,1.56186,0.009538,0.009538,0.009538
16,789.227,0.99889,0.92156,1.22688,0.81805,0.6626,0.70851,0.3583,1.65921,0.96922,1.64669,0.009505,0.009505,0.009505
17,839.321,0.99388,0.9101,1.22237,0.83567,0.64992,0.71491,0.39724,1.51234,0.91179,1.52807,0.009472,0.009472,0.009472
18,892.381,0.9882,0.88813,1.21654,0.80889,0.62875,0.69181,0.40079,1.43923,1.00791,1.50285,0.009439,0.009439,0.009439
19,942.188,0.98716,0.86607,1.21022,0.84106,0.66779,0.71898,0.38186,1.57063,0.92724,1.63433,0.009406,0.009406,0.009406
20,991.414,0.96668,0.85893,1.20631,0.82486,0.6418,0.70674,0.38784,1.54324,0.95294,1.54903,0.009373,0.009373,0.009373
21,1041.98,0.95887,0.85258,1.19832,0.86995,0.6592,0.73076,0.4324,1.38603,0.83487,1.42186,0.00934,0.00934,0.00934
22,1091.8,0.95561,0.83106,1.19189,0.82873,0.68258,0.73308,0.39789,1.50439,0.88313,1.51475,0.009307,0.009307,0.009307
